loc,info
爱国路地铁站,"爱国路
途径地铁：地铁12号线
坐标：121.559427,31.286351"
翔殷路地铁站,"翔殷路
途径地铁：地铁8号线
坐标：121.538472,31.311024"
 市光路地铁站,"市光路
途径地铁：地铁8号线
坐标：121.538509,31.328749"
国权路地铁站,"国权路
途径地铁：地铁10号线
坐标：121.516767,31.295034"
鞍山新村地铁站,"鞍山新村
途径地铁：地铁8号线
坐标：121.516196,31.278969"
 三门路地铁站,"三门路
途径地铁：地铁10号线
坐标：121.514595,31.318782"
  江浦路地铁站,"江浦路
途径地铁：地铁8号线
坐标：121.524796,31.280815"
黄兴路地铁站,"黄兴路
途径地铁：地铁8号线
坐标：121.534906,31.284713"
 宁国路地铁站,"宁国路
途径地铁：地铁12号线
坐标：121.538912,31.274518"
五角场地铁站,"五角场
途径地铁：地铁10号线
坐标：121.521191,31.303805"
 杨树浦路地铁站,"杨树浦路
途径地铁：地铁4号线
坐标：121.523939,31.257688"
江湾体育场地铁站,"江湾体育场
途径地铁：地铁10号线
坐标：121.520054,31.309713"
四平路地铁站,"四平路
途径地铁：地铁10号线; 地铁8号线
坐标：121.508095,31.28051"
隆昌路地铁站,"隆昌路
途径地铁：地铁12号线
坐标：121.550831,31.281348"
大连路地铁站,"大连路
途径地铁：地铁12号线; 地铁4号线
坐标：121.519427,31.263961"
大柏树地铁站,"大柏树
途径地铁：地铁3号线
坐标：121.489755,31.295206"
江湾镇地铁站,"坐标：121.491735,31.311313"
